1,Ceria dgn peralatan bersih-bersih sampah di pesisir pantai Gorontalo Utara #NewBKIPM #BulanBaktiBKIPM2017   @HumasBKIPM
2,"Geng pantai timur dkt usb, tuto bmm selalu perform, rajin study + dkt audi tu selalu duduk depan, selalu ceria dengan kawan2 lagi2 housemate"
3,"Minggu ceria,wisata murid dan guru MI Lena Arra @ Pantai Bayang Makassar https://www.instagram.com/p/BUWZMGKD1V4/ "
4,Masih kurang liburannya #pantaidepok #parangtritis #jogjaistimewa #JOGJA #jogjaflyingclub
5,Aku sedih..ini baby hiu katanya masuk jaring nelayan #pantaidepok 
6,"pantai sampah, sedih !!! #pantaiIndo"
7,Cari referensi tempat wisata di Banten?. Install us https://t.co/22Zw3r5cDn #VisitBanten #VisitIndonesia @BantenNews  @budayanesia_
8,"Kapan kita jalan\ lagi? #CentralJava #VisitIndonesia\n#NusantarideDay2017 #NDay2017 #KulonProgo\u2026 https://t.co/WXy9JIbyR5"""
9,End\n\u2022\n\u2022\n\u2022\n#lightroom #latepost #shotoniphone #iphonesia #jogja #puropakualaman #pakualaman #explorejogja\u2026 https://t.co/CunzE7bnBc
